cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC5286,1,115,12.6235,0.202,0.01,0.167258479364425,0.0265555044455983,-0.0347415206355752,-0.171987725918689,-1.2243295691983,-0.984063634635836,0.2,0.014,0.207,0.015,-0.0712249999999996,93.345,0
NGC5286,2,115,18.2768,0.209,0.01,0.165072313618913,0.0247123401581424,-0.0439276863810871,-0.210180317612857,-1.64776489786284,-1.32884457723087,0.206,0.015,0.211,0.015,-0.049132811763597,93.345,0
NGC5286,3,115,23.9279,0.184,0.01,0.162831256012856,0.0231489433244114,-0.0211687439871442,-0.115047521669262,-0.83947873853475,-0.679292032674163,0.173,0.013,0.197,0.015,-0.296702195195296,93.345,0
NGC5286,4,115,29.3864,0.19,0.01,0.160706055317687,0.0216057495288747,-0.0292939446823127,-0.154178656222698,-1.2304379383462,-0.999580615148248,0.192,0.014,0.187,0.014,0.0514051649305556,93.345,0
NGC5286,5,115,34.6197,0.159,0.008,0.158810698351343,0.0200226970739601,-0.0001893016486571,-0.0011905764066484,-0.0087795185471391,-0.0070758852689529,0.156,0.012,0.162,0.012,-0.0784023668639053,93.345,0
NGC5286,6,115,40.012,0.196,0.01,0.156741911061907,0.0186578953569916,-0.0392580889380928,-0.200296372133127,-1.85452809055608,-1.52132536200937,0.197,0.014,0.196,0.014,0.0101265170450152,93.345,0
NGC5286,7,115,45.8053,0.158,0.008,0.15461556512758,0.0173294722733873,-0.0033844348724203,-0.021420473876078,-0.177316949770828,-0.144026011944093,0.164,0.012,0.156,0.011,0.0951814396192744,93.345,0
NGC5286,8,115,52.7807,0.17,0.009,0.152125734860287,0.0156333977293437,-0.0178742651397125,-0.105142736115956,-0.990871498266928,-0.817286736369863,0.191,0.014,0.147,0.011,0.407664263589266,93.345,0
NGC5286,9,115,59.9733,0.159,0.008,0.149326216674393,0.0140933755783409,-0.0096737833256067,-0.0608414045635641,-0.596938764376727,-0.491817916046665,0.172,0.012,0.147,0.011,0.269571389940508,93.345,0
NGC5286,10,115,67.574,0.175,0.009,0.146458639134049,0.0127459490187536,-0.0285413608659511,-0.163093490662578,-1.8292015753148,-1.53639754375892,0.171,0.012,0.177,0.013,-0.0714065866420435,93.345,0
NGC5286,11,114,78.6781,0.146,0.008,0.142197692045258,0.0113113432008926,-0.0038023079547418,-0.0260432051694649,-0.274446190175244,-0.230551748785178,0.143,0.011,0.155,0.011,-0.174874076971979,93.345,0
NGC5466,1,80,24.8686,0.033,0.002,0.0252153509816475,0.0041906795694216,-0.0077846490183525,-0.235898455101591,-1.67647305519876,-0.857182977281887,0.032,0.003,0.033,0.003,-0.0634765625000002,72.3,0
NGC5466,2,80,47.8718,0.032,0.002,0.0242279908571398,0.0037879856660301,-0.0077720091428601,-0.24287528571438,-1.8143833437204,-0.877701615908567,0.033,0.003,0.031,0.003,0.117539026629936,72.3,0
NGC5466,3,80,68.689,0.032,0.002,0.0233135116055854,0.0035280066946385,-0.0086864883944145,-0.271452762325455,-2.14191940645527,-0.996388753261988,0.036,0.003,0.029,0.003,0.35108024691358,72.3,0
NGC5466,4,79,82.2865,0.03,0.002,0.0227936672610996,0.0034722638395448,-0.0072063327389003,-0.240211091296679,-1.79840415830607,-0.82930542488143,0.03,0.003,0.03,0.003,0.0,72.3,0
NGC5466,5,79,99.0486,0.03,0.002,0.0222565909251481,0.0034150989596634,-0.0077434090748519,-0.258113635828397,-1.95657321113927,-0.894067140860612,0.028,0.003,0.031,0.003,-0.225765306122449,72.3,0
NGC5897,1,59,25.2152,0.063,0.005,0.052042124725438,0.0090716774299918,-0.010957875274562,-0.17393452816765,-1.05787886387924,-0.675905510746906,0.064,0.008,0.067,0.008,-0.0959472656250002,102.15,0
